                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1571,                0.77906,                 2.2529,                0.58721,                0.49034,                0.52377,                0.44889,                 1.4971,                 1.9266,                 2.5798,             6.3081e-05,             6.3081e-05,             6.3081e-05
                     35,                  1.135,                0.78202,                 2.2401,                 0.5467,                0.50636,                0.52243,                0.45022,                 1.4981,                 1.8543,                 2.5883,             5.9478e-05,             5.9478e-05,             5.9478e-05
                     36,                 1.1077,                0.75971,                 2.2232,                0.56248,                0.50191,                0.52417,                0.45205,                 1.4853,                 1.8465,                 2.5786,             5.5874e-05,             5.5874e-05,             5.5874e-05
                     37,                 1.0998,                0.73811,                 2.2189,                0.56481,                0.49691,                0.52476,                0.45116,                 1.4909,                 1.8285,                 2.5927,              5.227e-05,              5.227e-05,              5.227e-05
                     38,                 1.0691,                0.72508,                  2.202,                0.56971,                0.48647,                0.52076,                0.44963,                  1.481,                 1.8588,                 2.5727,             4.8667e-05,             4.8667e-05,             4.8667e-05
                     39,                 1.0641,                0.70538,                 2.1857,                0.57473,                0.47949,                0.52366,                0.45491,                 1.4798,                 1.8402,                  2.573,             4.5063e-05,             4.5063e-05,             4.5063e-05
                     40,                 1.0453,                0.69484,                 2.1793,                 0.5476,                 0.4896,                0.51982,                0.45161,                 1.4502,                 1.8689,                 2.5537,              4.146e-05,              4.146e-05,              4.146e-05
                     41,                0.89021,                0.38342,                 2.1344,                0.58989,                0.48735,                 0.5253,                0.45441,                 1.4853,                 1.8522,                 2.5805,             3.7856e-05,             3.7856e-05,             3.7856e-05
                     42,                0.85687,                0.35856,                 2.0781,                0.57888,                0.48834,                0.51889,                0.44853,                 1.5198,                 1.8493,                 2.6042,             3.4252e-05,             3.4252e-05,             3.4252e-05
                     43,                0.83244,                0.34924,                 2.0686,                0.56317,                0.49603,                 0.5264,                0.45855,                 1.4755,                 1.8325,                 2.5906,             3.0649e-05,             3.0649e-05,             3.0649e-05
                     44,                0.80276,                0.32769,                 2.0363,                 0.5644,                0.50519,                0.52653,                0.45631,                 1.4633,                 1.8381,                 2.5677,             2.7045e-05,             2.7045e-05,             2.7045e-05
                     45,                0.77898,                0.32143,                 2.0151,                0.60527,                0.48717,                0.53005,                0.46051,                 1.4669,                 1.8443,                 2.5661,             2.3442e-05,             2.3442e-05,             2.3442e-05
                     46,                 0.7636,                0.31745,                 2.0026,                0.59479,                   0.49,                0.52766,                0.46123,                 1.4685,                 1.8415,                 2.5758,             1.9838e-05,             1.9838e-05,             1.9838e-05
                     47,                0.74146,                0.30336,                 1.9849,                0.59209,                0.49467,                0.52953,                0.46252,                 1.4623,                 1.8253,                 2.5737,             1.6234e-05,             1.6234e-05,             1.6234e-05
                     48,                0.72371,                0.29598,                 1.9775,                0.60075,                 0.4965,                0.53385,                0.46694,                 1.4793,                 1.8395,                 2.5927,             1.2631e-05,             1.2631e-05,             1.2631e-05
                     49,                0.69609,                0.28692,                 1.9581,                0.60223,                0.48978,                 0.5282,                0.46231,                 1.4685,                 1.8193,                 2.5916,             9.0272e-06,             9.0272e-06,             9.0272e-06
                     50,                0.68414,                0.27832,                 1.9488,                0.59851,                0.49641,                0.53174,                0.46699,                 1.4644,                  1.814,                 2.5925,             5.4236e-06,             5.4236e-06,             5.4236e-06
